time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574771841.61151,-0.455531,207.121,0.375236,-0.137735,0.689294,-262.682,5.03619,0.6608
1574771845.82401,-0.455531,208.612,0.368762,-0.121118,0.679952,-262.669,5.03619,0.6608
1574771850.03217,-0.462512,210.076,0.339517,-0.102139,0.616974,-262.631,5.03619,0.6608
1574771854.23865,-0.460767,211.623,0.37886,-0.0696702,0.698006,-262.618,5.03619,0.6608
1574771858.62448,-0.464258,213.031,0.320899,-0.0410416,0.586922,-262.631,5.03619,0.6608
1574771862.83356,-0.464258,214.66,0.389425,0.0573934,0.713333,-262.618,5.03619,0.6608
1574771867.03961,-0.462512,216.262,0.367287,0.0236324,0.676743,-262.694,5.03619,0.6608
1574771871.24673,-0.462512,217.56,0.309702,0.0337913,0.568772,-262.694,5.03619,0.6608
1574771875.60834,-0.459022,219.107,0.36595,0.00949379,0.679898,-262.643,5.03619,0.6608
1574771879.81696,-0.45204,220.736,0.384463,-0.00887085,0.726053,-262.72,5.0349,0.6608
1574771884.18692,-0.45204,222.255,0.348209,-0.0538238,0.654671,-262.669,5.0349,0.6608
1574771888.3992,-0.45204,223.774,0.360268,-0.0628033,0.676999,-262.656,5.34958,0.7021
1574771892.7691,-0.457276,225.237,0.322747,-0.0878131,0.594669,-262.694,5.0349,0.6608
1574771896.98547,-0.453786,226.646,0.347759,-0.0977118,0.646089,-262.707,5.0349,0.6608
1574771901.19214,-0.455531,228.303,0.381263,-0.0957115,0.707897,-262.669,5.0349,0.6608
1574771905.40387,-0.457276,229.628,0.325934,-0.0465786,0.605344,-262.682,5.0349,0.6608
1574771909.77585,-0.460767,231.368,0.397855,-0.0205792,0.736748,-262.733,5.0349,0.6608
1574771913.98511,-0.460767,232.859,0.354221,0.0182984,0.655093,-262.707,5.0349,0.6608
1574771918.19324,-0.460767,234.351,0.357362,0.0449737,0.659697,-262.694,5.0349,0.6608
1574771922.40079,-0.459022,235.98,0.373362,0.0737362,0.689967,-262.745,4.72022,0.6195
1574771926.76297,-0.459022,237.416,0.340698,0.0847467,0.6268,-262.745,4.72022,0.6195
1574771930.96701,-0.459022,239.073,0.380563,0.109447,0.698911,-262.72,5.0349,0.6608
1574771935.17914,-0.455531,240.564,0.370043,0.10364,0.685289,-262.707,4.72022,0.6195
1574771939.38156,-0.450295,242.028,0.345365,0.080839,0.649014,-262.771,5.0349,0.6608
1574771943.74866,-0.446804,243.713,0.369995,0.068975,0.703461,-262.694,4.72292,0.6195
