time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574383637.81012,-0.44855,64.621,0.382008,0.378853,0.388157,-261.533,5.35974,0.7021
1574383642.19742,-0.450295,66.2786,0.367388,0.413483,0.297661,-261.546,,
1574383646.41177,-0.446804,67.7429,0.347641,0.413408,0.239105,-261.52,5.22674,0.7021
1574383650.62909,-0.445059,69.3729,0.387456,0.473064,0.294252,-261.533,4.61183,0.6195
1574383654.84811,-0.434587,70.9477,0.370186,0.44015,0.313764,-261.546,4.91929,0.6608
1574383659.2301,-0.418879,72.3014,0.321862,0.351095,0.310385,-261.52,4.91929,0.6608
1574383663.44977,-0.415388,73.7933,0.354368,0.392166,0.374523,-261.533,4.91929,0.6608
1574383667.67661,-0.42237,75.1471,0.320947,0.315376,0.3394,-261.546,5.22674,0.7021
1574383671.88855,-0.427606,76.5837,0.342056,0.312389,0.391037,-261.546,4.91929,0.6608
1574383676.25586,-0.424115,78.048,0.323666,0.277228,0.379797,-261.546,4.91929,0.6608
1574383680.46536,-0.427606,79.3741,0.328167,0.269342,0.391591,-261.546,4.91929,0.6608
1574383684.67975,-0.424115,80.9765,0.366263,0.317716,0.45925,-261.546,4.91929,0.6608
1574383688.89581,-0.420624,82.275,0.319591,0.266665,0.384884,-261.546,4.91929,0.6608
1574383693.26703,-0.431096,83.7669,0.340926,0.283282,0.406372,-261.546,4.91929,0.6608
1574383697.63821,-0.432842,85.2864,0.346289,0.287513,0.413247,-261.546,4.91929,0.6608
1574383701.84921,-0.432842,86.7783,0.348491,0.314636,0.395228,-261.546,4.92369,0.6608
1574383706.07266,-0.436332,88.2978,0.352556,0.349736,0.364115,-261.546,4.92369,0.6608
1574383710.4444,-0.436332,89.8173,0.358039,0.374105,0.353521,-261.546,4.92369,0.6608
1574383714.67316,-0.432842,91.4197,0.343863,0.363342,0.331417,-261.278,0.0,0.0
1574383718.95892,-0.394444,92.7182,0.304669,0.356073,0.30708,-245.737,,
1574383723.11295,-0.26529,93.3813,0.179984,0.282,0.212122,-222.501,,
1574383727.41614,-0.205949,93.9338,0.128411,0.227384,0.141928,-198.883,,
1574383731.56842,-0.191986,94.3483,0.0967579,0.302033,0.189249,-176.311,,
1574383735.78058,-0.190241,94.735,0.0917208,0.0545006,0.0139936,-154.862,,
1574383739.92056,-0.164061,94.9008,0.041723,-0.151221,-0.109616,-132.584,,
1574383744.21365,-0.123918,95.2876,0.0866845,-0.151221,-0.109616,-110.689,,
1574383748.35089,-0.0959931,95.3429,0.0139604,-0.151221,-0.109616,-88.7164,,
1574383752.4866,-0.0733038,95.3705,0.00663487,-0.151221,-0.109616,-66.8974,,
1574383756.63815,-0.0471239,95.3705,0.0,-0.151221,-0.109616,-45.946,,
1574383760.92764,-0.0139626,95.3981,0.00671551,-0.151221,-0.109616,-23.0041,,
1574383765.06226,0.0174533,95.3152,-0.0197811,-0.151221,-0.109616,-1.73378,,
1574383769.20782,0.0523599,95.1771,-0.0334313,-0.151221,-0.109616,19.6642,,
1574383773.34586,0.0785398,94.9837,-0.0452276,-0.151221,-0.109616,41.3045,,
1574383777.63602,0.102974,94.8179,-0.0399147,-0.151221,-0.109616,64.0167,,
1574383781.80615,0.127409,94.4864,-0.0794467,-0.151221,-0.109616,84.9298,,
1574383785.95151,0.158825,94.293,-0.0465559,-0.151221,-0.109616,106.749,,
1574383790.09485,0.195477,93.9062,-0.0934041,-0.151221,-0.109616,128.415,,
1574383794.39551,0.226893,93.6576,-0.057491,-0.00609581,-0.00378928,150.821,,
1574383798.55157,0.256563,93.1603,-0.120791,0.140721,0.110378,172.41,,
